x,y,z,px,py,pz,phi,theta,charge
0.667037,3.405178,20.000000,1.303639,-0.406609,-6.151723,5.980845,2.923152,1.000000
3.326931,-3.336774,20.000000,0.017021,0.016187,-0.453938,0.760289,3.089893,1.000000
-3.788604,3.401206,20.000000,0.012674,-0.305884,-0.288046,4.753799,2.325742,-1.000000
-0.591283,-1.599782,20.000000,3.037594,-2.863428,-4.592849,5.527293,2.403879,-1.000000
0.341648,-2.382187,20.000000,-0.157416,0.651148,-1.008551,1.807996,2.555281,-1.000000
-4.836728,-1.125680,20.000000,-2.159702,-8.141389,-5.697270,4.453087,2.165505,-1.000000
-3.793522,3.131349,20.000000,-0.947307,-0.169142,-1.894854,3.318281,2.671690,1.000000
2.809720,-3.675756,20.000000,0.704749,-0.270948,-1.824078,5.916147,2.749136,-1.000000
-0.037808,-2.441164,20.000000,4.579366,6.674612,-17.094461,0.969469,2.699356,1.000000
-0.629351,-0.307612,20.000000,0.281223,-0.004435,-0.708623,6.267415,2.763756,-1.000000
1.186597,-0.614093,20.000000,0.166267,0.043757,-0.612116,0.257336,2.867772,-1.000000
-2.756416,0.186872,20.000000,0.288084,-0.309381,-1.822162,5.462156,2.913626,1.000000
1.837720,-2.673732,20.000000,0.335167,0.706002,-1.730460,1.127561,2.717387,1.000000
-1.267086,-3.347377,20.000000,-0.282262,0.299619,-0.442458,2.326375,2.392267,1.000000
-0.643033,-1.324239,20.000000,-0.634530,0.696935,-3.287514,2.309359,2.862384,-1.000000
-2.934822,-2.245003,20.000000,0.669839,3.894427,-2.963002,1.400464,2.214183,1.000000
1.082944,4.108214,20.000000,0.740092,-0.273783,-4.023847,5.928866,2.947942,1.000000
-4.523383,-1.502151,20.000000,0.111580,-0.023577,-0.987066,6.074950,3.026565,1.000000
2.727641,-0.116773,20.000000,-0.210773,-0.160693,-0.540102,3.792980,2.685391,1.000000
-2.676103,-3.060280,20.000000,-0.071668,-0.022739,-0.500932,3.448833,2.992607,1.000000
-3.120040,4.268245,20.000000,0.208902,-1.573050,-2.559036,4.844417,2.586524,1.000000
-2.951401,4.906706,20.000000,-0.471903,-0.167942,-0.515417,3.483499,2.370481,1.000000
4.547613,0.873319,20.000000,-4.797075,-2.201793,-3.884529,3.571895,2.205246,-1.000000
-3.295595,-4.859004,20.000000,0.151744,-0.153344,-0.497664,5.492542,2.732553,-1.000000
3.883269,0.588300,20.000000,2.557497,-2.064238,-4.942382,5.604111,2.554754,1.000000
-2.955639,-3.983347,20.000000,-0.920304,1.334212,-2.570155,2.174626,2.578952,1.000000
1.274316,1.987148,20.000000,0.762458,-0.726936,-0.663394,5.521633,2.132789,-1.000000
1.751338,-2.259627,20.000000,-4.987971,-3.332874,-6.223406,3.730644,2.374553,1.000000
-2.138974,1.323792,20.000000,0.273290,0.051870,-1.666740,0.187567,2.976223,1.000000
-0.699246,3.008931,20.000000,0.879582,10.757136,-3.713925,1.489211,1.902209,-1.000000
-0.330845,-2.691934,20.000000,0.964873,0.053186,-3.042921,0.055066,2.834096,1.000000
-1.153148,-2.889274,20.000000,0.123682,0.065924,-0.042693,0.489709,1.866483,-1.000000
-1.128866,-0.841224,20.000000,0.070299,0.135755,-0.370428,1.092980,2.750184,1.000000
-3.149521,2.231141,20.000000,5.902077,-0.990008,-5.630293,6.116994,2.325705,-1.000000
1.179882,-1.853406,20.000000,-10.611791,-0.780900,-21.377039,3.215048,2.679744,-1.000000
3.811293,2.202967,20.000000,0.964644,-0.462951,-1.492775,5.835731,2.519698,1.000000
4.761061,3.716669,20.000000,-0.097065,0.001681,-0.602913,3.124278,2.981945,1.000000
1.554934,-0.453496,20.000000,0.986183,0.481075,-1.762978,0.453852,2.584870,-1.000000
0.727797,0.689284,20.000000,0.211340,0.010271,-0.264054,0.048560,2.466054,-1.000000
2.269996,-0.932030,20.000000,0.485602,0.023367,-1.771708,0.048083,2.873781,1.000000
-0.549494,-0.899537,20.000000,-3.451302,-5.786715,-3.589083,4.174607,2.060246,1.000000
0.335422,2.571962,20.000000,0.793969,-1.521648,-4.561240,5.193310,2.781694,1.000000
2.893430,3.849746,20.000000,-5.652243,-1.343057,-6.607855,3.374881,2.420390,1.000000
0.678301,2.428302,20.000000,-0.240739,-0.126259,-0.278545,3.624620,2.368377,-1.000000
3.894845,2.076756,20.000000,-0.853194,-3.414101,-2.620468,4.467502,2.210860,1.000000
1.129966,1.077470,20.000000,1.376849,-1.257138,-2.625790,5.543204,2.524156,-1.000000
-3.149146,1.752200,20.000000,3.942580,-0.582196,-5.860761,6.136576,2.544414,1.000000
2.656700,4.054629,20.000000,0.102676,0.247135,-0.520154,1.177028,2.666418,1.000000
0.054349,-4.223300,20.000000,-0.084392,-0.101579,-0.226673,4.019149,2.614061,-1.000000
3.100837,0.673781,20.000000,-0.031189,0.111934,-1.165309,1.842544,3.042207,-1.000000
-1.246489,-0.522371,20.000000,0.182150,0.027145,-0.267071,0.147936,2.537908,1.000000
4.346626,0.454072,20.000000,-0.061284,-0.102319,-0.282413,4.172744,2.741995,-1.000000
0.489828,3.125791,20.000000,3.139932,-0.995849,-1.672003,5.976064,2.040489,-1.000000
0.471750,1.532845,20.000000,17.825649,-9.931639,-28.299043,5.774866,2.516864,-1.000000
-4.560085,4.088088,20.000000,0.048854,0.119367,-0.257529,1.182320,2.677283,1.000000
4.828428,-0.244755,20.000000,-1.845211,-2.274576,-7.320491,4.030836,2.761003,1.000000
3.005382,-3.520295,20.000000,-0.092104,-0.088518,-0.235092,3.907143,2.643846,-1.000000
-4.594783,2.057086,20.000000,0.491762,2.766636,-3.538922,1.394886,2.470504,1.000000
-3.237893,-3.189951,20.000000,-0.186088,-0.605758,-0.685207,4.414341,2.395230,1.000000
-2.114511,1.671583,20.000000,-2.442735,-1.047657,-2.973168,3.546751,2.412120,-1.000000
-0.675272,-4.118616,20.000000,0.605802,0.103363,-1.295250,0.168994,2.698577,-1.000000
-2.049484,-4.116308,20.000000,-0.054369,0.157862,-0.539905,1.902481,2.841677,-1.000000
-2.811663,3.930863,20.000000,0.280752,-0.873474,-0.545201,5.023379,2.106966,1.000000
4.193151,-0.708759,20.000000,0.875457,-0.091018,-1.445562,6.179591,2.594668,1.000000
4.207989,-0.006152,20.000000,1.661999,0.757510,-5.164292,0.427652,2.801646,-1.000000
